park_name,緯度,経度,class,VARI,VARI_mean,VARI_std,VARI_min,VARI_max,R_med,G_med,B_med,R_mean,G_mean,B_mean,veg_ratio,n_mask,n_veg
八王子霊園,35.65992516,139.2609681,危険,0.042203616350889206,0.05546276643872261,0.03311791643500328,-0.019776225090026855,0.1204281821846962,174.0,179.0,156.0,172.96621704101562,178.2830352783203,155.1418914794922,1.0,1332,1332
八王子霊園,35.65974489,139.2609694,危険,0.0459459014236927,0.0778389573097229,0.1077180802822113,-0.038145437836647034,0.9145042896270752,173.0,179.0,156.0,167.23731994628906,173.1138916015625,152.58779907226562,0.9941563184806428,1369,1361
八王子霊園,35.65956463,139.2609707,健康,0.2959195673465729,0.4379616379737854,0.3880743384361267,-0.02111029252409935,2.0,110.5,128.0,117.0,108.78472137451172,126.56172943115234,117.54475402832031,1.0,1296,1296
八王子霊園,35.66028674,139.2611864,危険,0.040918342769145966,0.05456184223294258,0.024280255660414696,0.02002432942390442,0.10262482613325119,173.0,179.0,154.0,172.91964721679688,178.30606079101562,153.94813537597656,1.0,1369,1369
八王子霊園,35.66010647,139.2611877,危険,0.0318702831864357,0.03289846330881119,0.006192733999341726,0.02002432942390442,0.05358245223760605,181.0,184.0,163.0,178.9146270751953,182.15493774414062,162.53121948242188,0.9496996996996997,1332,1265
八王子霊園,35.65992621,139.261189,危険,0.037801504135131836,0.03628823161125183,0.0046852221712470055,0.020703360438346863,0.04758889228105545,181.0,185.0,162.0,179.89405822753906,183.53494262695312,161.68594360351562,0.9992492492492493,1332,1331
八王子霊園,35.65974594,139.2611903,危険,0.04056568443775177,0.09741299599409103,0.13043828308582306,0.020008323714137077,0.8766744136810303,171.0,176.0,154.0,161.86819458007812,168.6756134033203,149.8705596923828,0.9776234567901234,1296,1267
八王子霊園,35.66046805,139.261406,健康,0.22053895890712738,0.22384031116962433,0.0605662539601326,0.018385732546448708,0.42683157324790955,122.0,137.0,126.0,123.69320678710938,137.99050903320312,125.14025115966797,1.0,1369,1369
八王子霊園,35.66028779,139.2614073,危険,0.03720594570040703,0.030197760090231895,0.01588412933051586,-0.010674888268113136,0.1005028486251831,181.0,184.0,162.0,179.47718811035156,182.48414611816406,160.92884826660156,0.9976851851851852,1296,1293
八王子霊園,35.66010752,139.2614086,危険,0.03810654580593109,0.036073118448257446,0.005069901701062918,0.020008323714137077,0.05208388715982437,184.0,187.0,166.0,182.3465576171875,185.9920654296875,164.47740173339844,0.9729938271604939,1296,1261
八王子霊園,35.65992726,139.2614099,危険,0.0317382737994194,0.03259638324379921,0.006605903152376413,0.020008323714137077,0.05507199838757515,181.0,185.0,164.0,180.09201049804688,183.3456573486328,163.098876953125,0.8731231231231231,1332,1163
八王子霊園,35.65974699,139.2614112,危険,0.039713334292173386,0.04735175892710686,0.023458052426576614,0.02026338316500187,0.0987420380115509,173.0,177.0,156.0,171.43035888671875,176.04910278320312,154.7035675048828,0.8408408408408409,1332,1120
